	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count	vogdb_hits	virsorter_category	auxiliary_score	is_transposon	amg_flags
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	1	1	249	-1	E																				0		-	5	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_2	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	2	253	693	-1	E																				0		2	4	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_3	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	3	694	1071	-1	E			YP_008853798.1	YP_008853798.1 putative tail fiber protein [Ralstonia phage RSK1]	False	0.448	96.0	8.841e-23										REFSEQ hypothetical protein; Xu	Xu	0		1	4	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_4	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	4	1068	3566	-1	E			YP_009020989.1	YP_009020989.1 hypothetical protein DVVG_00005 [Dunaliella viridis virus SI2]	False	0.239	194.0	6.525999999999999e-49										REFSEQ hypothetical protein; Xu	Xu	0		0	2	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_5	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	5	3566	4123	-1	E			YP_024931.1	YP_024931.1 hypothetical protein BcepC6B_gp11 [Burkholderia virus BcepC6B]	False	0.242	63.0	1.247e-10												0		2	1	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_6	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	6	4170	5000	-1	E			YP_009020986.1	YP_009020986.1 hypothetical protein DVVG_00002 [Dunaliella viridis virus SI2]	False	0.443	222.0	1.0699999999999995e-63										REFSEQ hypothetical protein; Xu	Xu	0		2	1	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_7	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	7	5165	5875	-1	E																				0		2	1	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_8	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	8	5888	6172	-1	E																				0		2	1	False	F
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_9	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	9	6169	7746	-1	D			YP_007517703.1	YP_007517703.1 head-tail connector protein [Pelagibacter phage HTVC010P]	False	0.251	174.0	3.1630000000000006e-44								Bacteriophage head to tail connecting protein [PF12236.9]		sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xr;Xp;Xs	0		1	1	False	VF
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_10	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	10	7743	8027	-1	E																				0		2	1	False	F
