	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	vogdb_hits	virsorter_category	auxiliary_score	is_transposon	amg_flags
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_1	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	1	2	667	-1	E													0									-	5	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	2	823	1881	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_3	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	3	1887	2417	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_4	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	4	2641	3939	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_5	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	5	3967	4404	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_6	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	6	4420	5424	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_7	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	7	5426	5596	-1	E													0									-	4	False	
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_8	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	8	5711	6802	-1	E													0									-	4	False	
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_9	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	9	6799	7068	-1	E													0									-	4	False	
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_10	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	10	7071	8045	-1	E													0									1	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_11	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	11	8047	9414	-1	E											REFSEQ hypothetical protein; Xu	Xu	0									-	2	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_12	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	12	9411	9629	-1	E													0									-	2	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_13	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	13	9631	11358	-1	C	K06909	phage terminase large subunit	YP_009218022.1	YP_009218022.1 terminase large subunit [Streptomyces phage phiSAJS1]	False	0.191	82.0	5.655e-15	Phage terminase large subunit [PF04466.14]; Helix-turn-helix [PF01381.23]; Helix-turn-helix domain [PF12844.8]		sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF; Xu	Xu	0									3	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_14	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	14	11358	11705	-1	E													0									-	4	False	F
VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2_15	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	VIRSorter_NODE_1242_length_12196_cov_3_300387-cat_2	15	11824	12003	-1	E													0									-	5	False	F
VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2_1	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	1	1	8550	1	E													0									2	5	False	F
VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	2	8557	8700	1	E													0									-	4	False	F
VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2_3	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	3	8731	9012	1	E													0									2	4	False	F
VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2_4	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	4	9015	9335	1	E													0									2	4	False	F
VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2_5	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	VIRSorter_NODE_1430_length_10559_cov_5_922315-cat_2	5	9490	10557	-1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	YP_008242278.1	YP_008242278.1 ribonucleoside reductase alpha chain [Cellulophaga phage phi14:2]	True	0.54	364.0	1.641999999999999e-111	Ribonucleotide reductase, barrel domain [PF02867.16]		sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; XhXr	Xr;Xh	0									1	5	False	VMKEF
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_1	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	1	17	400	1	E													0									-	5	False	F
